description	price	prime	link	stars
"Acer Chromebook 314 CB314-1H-C2W1 Notebook, Pc Portatile con Processore Intel Celeron N4000, Ram 4GB DDR4, eMMC 64 GB, Display 14"" Full HD LED LCD, Scheda Grafica Intel, Chrome OS, Silver, [CB]"	349	True	https://www.amazon.it/Acer-Chromebook-CB314-1H-C2W1-Portatile-Processore/dp/B0855696F5/ref=sr_1_3?dchild=1&keywords=computer&qid=1606134504&sr=8-3	4,3
ALLDOCUBE X Neo 4G Tablet, schermo Super AMOLED da 10,5” con risoluzione 2560×1600, CPU Qualcomm Snapdragon 660, 4GB RAM, 64GB ROM, Android 9.0, ricarica rapida 3.0	279,99	True	https://www.amazon.it/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg56_1?ie=UTF8&adId=A0501786IF69W7HE15NH&url=%2FALLDOCUBE-risoluzione-2560%25C3%25971600-Qualcomm-Snapdragon%2Fdp%2FB08DNT6SCY%2Fref%3Dsr_1_2645_sspa%3Fdchild%3D1%26keywords%3Dcomputer%26qid%3D1606134818%26sr%3D8-2645-spons%26psc%3D1&qualifier=1606134818&id=7451905452269344&widgetName=sp_mtf	3,9
Chuwi CoreBook Pro Laptop Ultrabook 13 pollici Win 10 Notebook Portatile Intel Core i3-6157U fino a 2,4 GHz 8 GB RAM 256 GB SSD 2160 * 1440 2K, Type-C 2.4G/5G WiFi	459	True	https://www.amazon.it/CoreBook-Pro-Ultrabook-Notebook-Portatile/dp/B08JPMVKKN/ref=sr_1_5?dchild=1&keywords=computer&qid=1606134504&sr=8-5	3,8
Laptop da 14 pollici (Intel Celeron a 64 bit, 4 GB di RAM DDR3, 64 GB di eMMC, batteria da 10000 Mah, webcam HD, sistema operativo Windows 10 preinstallato, display IPS 1366 * 768 FHD) Notebook	262,99	True	https://www.amazon.it/pollici-batteria-operativo-preinstallato-Notebook/dp/B08BHRW3KB/ref=sr_1_4?dchild=1&keywords=computer&qid=1606134504&sr=8-4	2,3
Laptop HUAWEI MateBook 13 FullView, Display 2K, 3 Pollici, AMD Ryzen 5 3500U, 8GB RAM, 256GB SSD, Windows 10 Home, Huawei Multi-screen Collaboration, Fingerprint Unlock, Space Grey	699,9	True	https://www.amazon.it/HUAWEI-MateBook-Multi-screen-Collaboration-Fingerprint/dp/B08JQLS1ZH/ref=sr_1_4?dchild=1&keywords=computer&qid=1606134504&sr=8-4	4,3
LOSMILE Uomo Tela Borsa a Tracolla Borsa di Tela Sacchetto del Messaggero Sacchetto di Messenger bag 16 pollici Laptop Borsa. (Caffè)	29,99	True	https://www.amazon.it/LOSMILE-Tracolla-Sacchetto-Messaggero-Messenger/dp/B073FCN9NS/ref=sr_1_197?dchild=1&keywords=computer&qid=1606134240&sr=8-197	4,6
MHDYT Webcam per PC con Microfono, 2K HD Web Cam con Luce ad Anello Regolabile e Privacy Cover,USB Web Camera per PC Fisso,Laptop e Mac,Videocamera PC con Autofocus per Videoconferenze,Registrazione	56,97	True	https://www.amazon.it/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg56_1?ie=UTF8&adId=A04888802XJVZYEMI0VBL&url=%2FMHDYT-Regolabile-Videocamera-Videoconferenze-Registrazione%2Fdp%2FB08JCDT38F%2Fref%3Dsr_1_2641_sspa%3Fdchild%3D1%26keywords%3Dcomputer%26qid%3D1606134818%26sr%3D8-2641-spons%26psc%3D1&qualifier=1606134818&id=7451905452269344&widgetName=sp_atf_next	4,5
Mini PC RAM da 8 GB aggiornabile SSD da 256 GB Processore Intel Core i5-5257U (fino a 3,1 Ghz),Computer desktop Windows 10 Pro 4K HD con porta USB-C/HDMI/Mini DP,2X Ethernet Doppio Wi-Fi	339,99	True	https://www.amazon.it/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg15_1?ie=UTF8&adId=A046399433Y65KQ85GV3J&url=%2Faggiornabile-Processore-i5-5257U-Computer-Ethernet%2Fdp%2FB0895DNN4B%2Fref%3Dsr_1_674_sspa%3Fdchild%3D1%26keywords%3Dcomputer%26qid%3D1606134503%26sr%3D8-674-spons%26psc%3D1&qualifier=1606134503&id=8204897314153229&widgetName=sp_atf_next	4,6
NIYPS Webcam 1080P Full HD con Microfono, Webcam per PC con Luce ad Anello e Treppiede Web Cam USB 2.0/3.0 Laptop,Fisso e Mac per Videochiamate, Studio, Conferenza, Registrazione, Gioca a Giochi	47,99	True	https://www.amazon.it/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg23_1?ie=UTF8&adId=A06953883P165C2BXAZ2J&url=%2FNIYPS-Microfono-Videochiamate-Conferenza-Registrazione%2Fdp%2FB08MT9VS1C%2Fref%3Dsr_1_1060_sspa%3Fdchild%3D1%26keywords%3Dcomputer%26qid%3D1606134503%26smid%3DA15TM9CBKU0HT0%26sr%3D8-1060-spons%26psc%3D1&qualifier=1606134503&id=4719303465193359&widgetName=sp_atf_next	4,5
NIYPS Webcam PC con Microfono, 2K HD Web Cam con Luce ad Anello Regolabile e Treppiede,Web Camera per PC,Laptop,Fisso e Mac,Videocamera PC con Autofocus per Videoconferenze,Lezioni Online e Giochi	47,99	True	https://www.amazon.it/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg15_1?ie=UTF8&adId=A01631562NDVX24EGHIA0&url=%2FNIYPS-Microfono-Regolabile-Videocamera-Videoconferenze%2Fdp%2FB08ML17TWZ%2Fref%3Dsr_1_675_sspa%3Fdchild%3D1%26keywords%3Dcomputer%26qid%3D1606134503%26smid%3DA15TM9CBKU0HT0%26sr%3D8-675-spons%26psc%3D1&qualifier=1606134503&id=8204897314153229&widgetName=sp_atf_next	4,7
